condition1,trialNo,stim1,accuracy,RT,participant,early_late_acquisition,language,congruency
incongruent_eng,36,mouth_NOSE,1,1248,1558,early,eng,incong
congruent_eng,37,nose_NOSE,1,837,1558,early,eng,cong
congruent_span,38,nose_NARIZ,1,1840,1558,early,span,cong
incongruent_eng,39,nose_HAND,1,1553,1558,early,eng,incong
incongruent_span,40,nose_MANO,1,1336,1558,early,span,incong
incongruent_span,41,strawberry_CARNE,1,1325,1558,early,span,incong
incongruent_eng,42,strawberry_CHEESE,1,921,1558,early,eng,incong
congruent_eng,43,strawberry_STRAWBERRY,1,894,1558,early,eng,cong
congruent_span,44,strawberry_FRESA,1,1513,1558,early,span,cong
congruent_eng,1,apple_APPLE,1,762,7438,late,eng,cong
congruent_span,2,apple_MANZANA,1,767,7438,late,span,cong
incongruent_eng,3,apple_MEAT,1,1104,7438,late,eng,incong
incongruent_span,4,apple_QUESO,1,871,7438,late,span,incong
congruent_eng,5,bird_BIRD,1,774,7438,late,eng,cong
incongruent_eng,6,bird_DOG,1,1138,7438,late,eng,incong
congruent_span,7,bird_PAJARO,1,1364,7438,late,span,cong
incongruent_span,8,bird_PERRO,1,984,7438,late,span,incong
congruent_eng,9,cat-CAT,1,939,7438,late,eng,cong
incongruent_eng,10,cat_DOG,1,1126,7438,late,eng,incong
incongruent_span,11,cat_PERRO,1,1005,7438,late,span,incong
congruent_span,12,cat_GATO,1,805,7438,late,span,cong
incongruent_eng,13,cheese_APPLE,1,934,7438,late,eng,incong
congruent_eng,14,cheese_CHEESE,1,11713,7438,late,eng,cong
incongruent_span,15,cheese_MANZANA,1,3018,7438,late,span,incong
congruent_span,16,cheese_QUESO,1,1052,7438,late,span,cong
congruent_eng,17,cow_COW,1,969,7438,late,eng,cong
incongruent_eng,18,cow_BIRD,1,899,7438,late,eng,incong
congruent_span,19,cow_VACA,1,1118,7438,late,span,cong
incongruent_span,20,cow_PAJARO,1,1008,7438,late,span,incong
congruent_eng,21,dog_DOG,1,836,7438,late,eng,cong
congruent_span,22,dog_PERRO,1,895,7438,late,span,cong
incongruent_eng,23,dog_CAT,1,833,7438,late,eng,incong
incongruent_span,24,dog_GATO,1,993,7438,late,span,incong
congruent_eng,25,eye_EYE,1,713,7438,late,eng,cong
congruent_span,26,eye_OJO,1,1028,7438,late,span,cong
incongruent_span,27,eye_MANO,1,784,7438,late,span,incong
incongruent_eng,28,eye_HAND,1,1169,7438,late,eng,incong
congruent_eng,29,hand_HAND,1,1008,7438,late,eng,cong
congruent_span,30,hand_MANO,1,764,7438,late,span,cong
incongruent_span,31,hand_BOCA,1,738,7438,late,span,incong
incongruent_eng,32,hand_MOUTH,1,1041,7438,late,eng,incong
congruent_eng,33,mouth_MOUTH,1,907,7438,late,eng,cong
congruent_span,34,mouth_BOCA,1,932,7438,late,span,cong
incongruent_span,35,mouth_NARIZ,1,719,7438,late,span,incong
incongruent_eng,36,mouth_NOSE,1,748,7438,late,eng,incong
congruent_eng,37,nose_NOSE,1,982,7438,late,eng,cong
congruent_span,38,nose_NARIZ,1,752,7438,late,span,cong
incongruent_eng,39,nose_HAND,1,1117,7438,late,eng,incong
incongruent_span,40,nose_MANO,1,840,7438,late,span,incong
incongruent_span,41,strawberry_CARNE,1,917,7438,late,span,incong
